,authors,by_statement,classifications.udc,contributions,contributors,copyright_date,covers,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,"identifiers.bodleian,_oxford_university",identifiers.british_library,identifiers.goodreads,identifiers.librarything,identifiers.shelfari,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subjects,subtitle,table_of_contents,title,title_prefix,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,,edited by Stephanie Newell.,,"['Newell, Stephanie, 1968-']",,,"[4872475, 4872461, 3858348, 3858328]",/type/datetime,2008-04-01T03:28:50.625462,,,,['820.9/9287/0966'],,,,,,,,,,"['5082313', '1271896']",,,"['1856494497', '1856494500']",,,/books/OL1000602M,[{'key': '/languages/eng'}],/type/datetime,2010-04-25T00:57:53.386905,6,['PR9340.5 .W74 1997'],['96039523'],,,,/type/text,Includes bibliographical references and index.,204.0,,,,,"x, 204 p. ;",,,enk,1997,"['London', 'Atlantic Highlands, NJ']",['Zed Books'],6,,,"['Africa, West', 'Africa, West.']",,"['West African literature (English) -- Women authors -- History and criticism.', 'West African literature (English) -- Male authors -- History and criticism.', 'Women and literature -- Africa, West.', 'Popular culture -- Africa, West.', 'Authorship -- Sex differences.', 'Sex role in literature.', 'Women in literature.', 'Africa, West -- Intellectual life.', 'Africa, West -- In literature.']","gender, popular culture, and literature in West Africa",,Writing African women,,/type/edition,"['Publisher description', 'Table of contents']","['http://www.loc.gov/catdir/description/hol055/96039523.html', 'http://www.loc.gov/catdir/toc/hol052/96039523.html']","['http://www.loc.gov/catdir/description/hol055/96039523.html', 'http://www.loc.gov/catdir/toc/hol052/96039523.html']",,,,
0,[{'key': '/authors/OL230045A'}],Mario Bencastro.,,,,,[1882676],/type/datetime,2008-04-01T03:28:50.625462,,,,['863'],,,,,,,,,,['1466769'],,,['1558851941'],,,/books/OL1000884M,[{'key': '/languages/spa'}],/type/datetime,2010-04-15T14:16:19.555039,4,['PQ7539.2.B46 D5 1997'],['96039827'],,,,/type/text,"First published: México : Editorial Diana, 1990.",175.0,,,,['Disparo en la cathedral [sic]'],175 p. ;,,,txu,1997,"['Houston, TX']",['Arte Público Press'],4,,,,,,,,Disparo en la catedral,,/type/edition,,,,,,,[{'key': '/works/OL1919075W'}]
0,[{'key': '/authors/OL541207A'}],Mina Kumar.,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['811/.54'],,,,,,,,,,"['4133457', '6015268']",,,"['1882413296', '1882413288']",,,/books/OL1001241M,[{'key': '/languages/eng'}],/type/datetime,2010-04-25T00:57:53.386905,6,['PS3561.U4443 H65 1997'],['96040203'],,,,,,,,,,,p. cm.,,,nyu,1997,"['Brooklyn, NY']",['Hanging Loose Press'],6,,"['marc:marc_records_scriblio_net/part25.dat:198912692:516', 'marc:marc_loc_updates/v37.i38.records.utf8:8606998:516']",,,,,,Hole,,/type/edition,,,,,,,[{'key': '/works/OL3338418W'}]
0,[{'key': '/authors/OL244070A'}],by Robb Armstrong.,,,,,"[3857941, 3857863]",/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"Drew's oldest friends accuse him of snobbery when he wins a scholarship to the Deerwood Academy for Boys, an exclusive all-white school.",['[Fic]'],1st ed.,,,,"['Juvenile fiction.', 'Fiction.']",,,,,"['611491', '2172988']",['5149703'],,"['0060275278', '0064420477']",,,/books/OL1002024M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T00:00:50.812339,7,['PZ7.A73385 Dt 1997'],['96041319'],,,,,,58.0,,,,,58 p. :,,,nyu,1997,['New York'],['HarperTrophy'],7,,,,,"['African Americans -- Juvenile fiction.', 'African Americans -- Fiction.', 'Race relations -- Fiction.', 'Schools -- Fiction.']",,,Drew and the homeboy question,,/type/edition,,,,,,,[{'key': '/works/OL2021805W'}]
0,[{'key': '/authors/OL24054A'}],Sandra Belton.,,,,,[3857889],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"Ernestine and Amanda, two African-American girls growing up in the 1950s, go away to different summer camps and make discoveries about what they can expect from themselves and other people.",['[Fic]'],1st ed.,,,,['Fiction.'],['IA140804'],['ernestineamandas00belt'],,,['371755'],['3948191'],,['0689808461'],,,/books/OL1002147M,[{'key': '/languages/eng'}],/type/datetime,2011-11-17T11:01:12.139764,7,['PZ7.B4197 Er 1997'],['96041443'],,,,,,168.0,ernestineamandas00belt,,['35360730'],"['Ernestine and Amanda', 'Summer camp ready or not!']",168 p. ;,,,nyu,1997,['New York'],['Simon & Schuster Books for Young Readers'],7,,['ia:ernestineamandas00belt'],,,"['Camps -- Fiction.', 'African Americans -- Fiction.']",,,"Ernestine & Amanda, summer camp ready or not!",,/type/edition,,,,,,,[{'key': '/works/OL16070305W'}]
0,[{'key': '/authors/OL18073A'}],by Robert Kraus ; pictures by Jose Aruego & Ariane Dewey.,,"['Aruego, Jose, ill.', 'Dewey, Ariane, ill.']",,,"[1065268, 24175]",/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"Leo the tiger worries and wonders why his little brother can't do anything right, but his parents encourage Leo to be patient.",['[E]'],1st ed.,,,,,,,,,['5332842'],['73157'],,"['0060262931', '006026294X']",,,/books/OL1003092M,[{'key': '/languages/eng'}],/type/datetime,2015-11-28T04:35:20.910965,8,['PZ7.K868 Lit 1998'],['96042434'],,,,,,,littlelouiebabyb00krau,,,,1 v. (unpaged) :,,,nyu,1998,['New York'],['HarperCollins'],8,,"['marc:marc_records_scriblio_net/part25.dat:200576664:1044', 'marc:marc_loc_updates/v38.i19.records.utf8:3382423:1043', 'ia:littlelouiebabyb00krau']",,,"['Tigers -- Fiction', 'Toddlers -- Fiction', 'Brothers -- Fiction']",,,Little Louie the baby bloomer,,/type/edition,['Publisher description'],['http://www.loc.gov/catdir/description/hc041/96042434.html'],['http://www.loc.gov/catdir/description/hc041/96042434.html'],,,,[{'key': '/works/OL407762W'}]
0,[{'key': '/authors/OL541968A'}],by John D. Holland.,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,,,,,,['4916458'],,,['094495765X'],,,/books/OL1003197M,[{'key': '/languages/eng'}],/type/datetime,2010-04-15T15:19:17.569478,3,['PS3558.O34853 C48 1996'],['96042541'],,,,,,148.0,,,,,148 p. ;,,,nyu,1996,['New York'],['Rivercross Pub.'],3,,,['Tennessee'],,"['Depressions -- Fiction.', 'Tennessee -- Fiction.']",,,Child of the Depression,,/type/edition,,,,,,,[{'key': '/works/OL3341897W'}]
0,[{'key': '/authors/OL292766A'}],by A.J.A. Symons ; with a new introduction by Nicholas Dawidoff.,,,,,[676458],/type/datetime,2008-04-01T03:28:50.625462,,,,['823/.8'],1st Ecco ed.,,,,,,,,,['596557'],['191141'],,['0880014830'],,,/books/OL1007427M,[{'key': '/languages/eng'}],/type/datetime,2011-04-19T17:37:02.896494,6,['PR5236.R27 Z8 1997'],['96047342'],,,,/type/text,Includes bibliographical references (p. xv) and index.,293.0,,,['35723752'],,"xv, 293 p. :",,,nju,1997,"['Hopewell, N.J']",['Ecco Press'],6,,,,['19th century'],"['Rolfe, Frederick, 1860-1913.', 'Authors, English -- 19th century -- Biography.']",an experiment in biography,,The quest for Corvo,,/type/edition,,,,,,,[{'key': '/works/OL2253616W'}]
0,[{'key': '/authors/OL543815A'}],Mark Karlins ; illustrated by Jack E. Davis.,,"['Davis, Jack E., ill.']",,,[239355],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,Perfect Cousin Herbert always gets all the attention until Uncle Louie starts teaching Bernie how to play the trumpet.,['[E]'],,,,,,,,,,['943073'],['1173125'],,['0385322259'],,,/books/OL1007742M,[{'key': '/languages/eng'}],/type/datetime,2011-04-19T17:37:02.896494,7,['PZ7.K14245 Mu 1998'],['96047668'],,,,/type/text,"""A Doubleday book for young readers""",,,,['35830341'],,1 v. (unpaged) :,,,nyu,1998,['New York'],['Bantam Doubleday Dell Pub. Group'],7,,,['New York (N.Y.)'],,"['Trumpet -- Fiction.', 'Cousins -- Fiction.', 'Music -- Fiction.', 'New York (N.Y.) -- Fiction.']",,,Music over Manhattan,,/type/edition,"['Sample text', 'Publisher description']","['http://www.loc.gov/catdir/samples/random044/96047668.html', 'http://www.loc.gov/catdir/description/random0411/96047668.html']","['http://www.loc.gov/catdir/samples/random044/96047668.html', 'http://www.loc.gov/catdir/description/random0411/96047668.html']",,,,[{'key': '/works/OL3350051W'}]
0,[{'key': '/authors/OL21377A'}],by Charnan Simon ; illustrated by Bari Weissman.,,"['Weissman, Bari, ill.']",,,[1262177],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,Ariel Kazunas wants a puppy but gets a baby sister instead.,['[E]'],,,,,,,,,,['3446902'],['5530369'],,['0516203975'],,,/books/OL1009410M,[{'key': '/languages/eng'}],/type/datetime,2011-04-19T17:37:02.896494,5,['PZ7.S6035 Co 1997'],['96049440'],,,,,,32.0,,,['36017163'],,32 p. :,,,nyu,1997,['New York'],"[""Children's Press""]",5,['Rookie reader'],,,,"['Babies -- Fiction.', 'Sisters -- Fiction.', 'Dogs -- Fiction.']",,,Come! Sit! Speak!,,/type/edition,,,,,,,
