,authors,by_statement,contributions,contributors,copyright_date,covers,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.goodreads,identifiers.google,identifiers.librarything,identifiers.oclc,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subjects,subtitle,table_of_contents,title,title_prefix,translated_from,translation_of,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL385813A'}],by Edna Ferber.,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.52'],Prairie Oak Press ed.,,,,,,,['149152'],,['955891'],,['187948305X'],,,/books/OL1552916M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T04:14:23.026865,4,['PS3511.E46 C66 1991'],['91032881'],,,,,,518.0,,,,,518 p. ;,,,wiu,1991,"['Madison, Wis']",['Prairie Oak Press'],4,"['Prairie classics ;', 'no. 2']",,,,,a novel,,Come and get it,,,,/type/edition,,,,,,,[{'key': '/works/OL2646751W'}]
0,[{'key': '/authors/OL402828A'}],Jeffrey L. Sammons.,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['833/.8'],1st ed.,,,,,,,['70344'],,,,['1879751089'],,,/books/OL1554015M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T03:50:54.205979,6,['PT2451.Z5 S18 1991'],['91034090'],,,,/type/text,Includes bibliographical references p. ([127]-158) and index.,163.0,,,,,"xiii, 163 p. ;",,,scu,1992,"['Columbia, SC, USA']",['Camden House'],6,['Literary criticism in perspective'],"['marc:marc_records_scriblio_net/part22.dat:21228071:798', 'marc:marc_ithaca_college/ic_marc.mrc:130029464:832']",,,"['Raabe, Wilhelm Karl, 1831-1910 -- Criticism and interpretation']",a history of criticism as a cautionary tale,,shifting fortunes of Wilhelm Raabe,The ,,,/type/edition,,,,,,,[{'key': '/works/OL2746203W'}]
0,[{'key': '/authors/OL1122551A'}],illustrated by Quentin Blake.,"['Blake, Quentin, ill.']",,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"A poetic look at animals through the alphabet, from the anaconda to the zambra.",['821/.914'],1st American ed.,,,,,,,['1168454'],,['1875465'],,['0027507203'],,,/books/OL1557689M,[{'key': '/languages/eng'}],/type/datetime,2014-05-17T15:30:44.209484,6,['PR6061.I4934 A78 1992'],['91038435'],,,,/type/text,"Originally published: London : V. Gollancz, 1990.",,dickkingsmithsal00king,,,['Alphabeasts.'],1 v. (unpaged) :,,,nyu,1992,['New York'],"['Macmillan', 'Maxwell Macmillan International']",6,,['marc:marc_records_scriblio_net/part22.dat:24513467:1061'],,,"['Animals -- Juvenile poetry', ""Children's poetry, English"", 'Alphabet rhymes', 'Animals -- Poetry', 'English poetry', 'Alphabet']",,,Dick King-Smith's Alphabeasts,,,,/type/edition,,,,,,,[{'key': '/works/OL14899W'}]
0,[{'key': '/authors/OL39832A'}],Randy Wayne White.,,,,[172871],/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,,,,['3952743'],,['269243'],,['0312069936'],,,/books/OL1559434M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T04:21:45.186660,5,['PS3573.H47473 H4 1992'],['91040458'],,,,/type/text,"""A Thomas Dunne book.""",276.0,,,,,276 p. ;,,,nyu,1992,['New York'],"[""St. Martin's Press""]",5,,['marc:marc_records_scriblio_net/part22.dat:26075243:766'],['Sanibel Island (Fla.)'],,"['Ford, Doc (Fictitious character) -- Fiction', 'Marine biologists -- Fiction', 'Sanibel Island (Fla.) -- Fiction']",,,Heat Islands,The ,,,/type/edition,,,,,,,[{'key': '/works/OL79469W'}]
0,[{'key': '/authors/OL656569A'}],Justine Rendal.,,,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"When the Darlings, a doll family, are purchased together and shipped out of their toyshop, they wonder if their new owner will be a serious collector or a child who will love and care for them.",['[Fic]'],1st American ed.,,,,,,,['4273328'],,['5634561'],,['0670844187'],,,/books/OL1561165M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,5,['PZ7.R2847 Ch 1992'],['91042476'],,,,,,107.0,,,['24872112'],,107 p. ;,,,nyu,1992,"['New York, N.Y., U.S.A']",['Viking'],5,,,,,['Dolls -- Fiction.'],,,A child of their own,,,,/type/edition,,,,,,,[{'key': '/works/OL3741079W'}]
0,[{'key': '/authors/OL404613A'}],Hanjo Berressem.,,,,"[5045477, 5044956, 3974530, 3974496]",/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,,,,"['1855195', '6601838']",,['229316'],,"['0252062485', '0252019199']",,,/books/OL1562515M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T04:25:02.538579,5,['PS3566.Y55 Z57 1993'],['91043973'],,,,/type/text,Includes bibliographical references (p. [247]-257) and index.,273.0,,,,,"x, 273 p. ;",,,ilu,1993,['Urbana'],['University of Illinois Press'],5,,,,,"['Pynchon, Thomas -- Criticism and interpretation.', 'Subjectivity in literature.']",interfacing theory and text,,Pynchon's poetics,,,,/type/edition,,,,,,,[{'key': '/works/OL2756368W'}]
0,[{'key': '/authors/OL37998A'}],by John Schindel ; illustrated by James Watts.,"['Watts, James, 1955-  ill.']",,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"After not seeing one another for a long time, two friends, Titus Turtle and Fuller Frog, each bring a special gift when they set out to meet for a reunion.",['[E]'],1st ed.,,,,,,,['3248081'],,['2522988'],,['0689505647'],,,/books/OL1562559M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,5,['PZ7.S346328 Il 1993'],['91044019'],,,,,,,,,['25026278'],,1 v. (unpaged) :,,,nyu,1993,"['New York', 'Toronto', 'New York']","['M.K. McElderry Books', 'Maxwell Macmillan Canada', 'Maxwell Macmillan International']",5,,,,,"['Turtles -- Fiction.', 'Frogs -- Fiction.', 'Friendship -- Fiction.', 'Gifts -- Fiction.']",,,I'll meet you halfway,,,,/type/edition,,,,,,,[{'key': '/works/OL537223W'}]
0,[{'key': '/authors/OL773936A'}],Kathleen F. Parthé.,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['891.73/4409321734'],,,,,,,,"['218852', '2688995']",,['7536532'],,"['0691068895', '0691015341']",,,/books/OL1563660M,[{'key': '/languages/eng'}],/type/datetime,2014-04-06T08:04:47.296339,7,['PG3096.C68 P37 1992'],['91045226'],,,,/type/text,Includes bibliographical references (p. [149]-187) and index.,194.0,russianvillagepr00part,,,,"xiv, 194 p. ;",,,nju,1992,"['Princeton, N.J']",['Princeton University Press'],7,['Princeton paperbacks'],,,['20th century'],"['Russian fiction -- 20th century -- History and criticism.', 'Country life in literature.']",the radiant past,,Russian village prose,,,,/type/edition,"['Publisher description', 'Table of contents']","['http://www.loc.gov/catdir/description/prin031/91045226.html', 'http://www.loc.gov/catdir/toc/prin031/91045226.html']","['http://www.loc.gov/catdir/description/prin031/91045226.html', 'http://www.loc.gov/catdir/toc/prin031/91045226.html']",,,,[{'key': '/works/OL4637372W'}]
0,[{'key': '/authors/OL774337A'}],Jean Hamburger ; translated by Barbara Wright.,,,,"[3975165, 3975157]",/type/datetime,2008-04-01T03:28:50.625462,,,,['843/.914'],,,,,,,,"['3957625', '1143324']",,['340826'],,"['0813518253', '0813518261']",,,/books/OL1565019M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T04:27:21.941287,5,['PQ2615.A227 J6813 1992'],['91046771'],,,,/type/text,"Includes bibliographical references.
Translation of: Le journal d'Harvey.",255.0,,,,,"xii, 255 p. ;",,,nju,1992,"['New Brunswick, N.J']",['Rutgers University Press'],5,,,"['Great Britain', 'England']","['17th century', 'Charles I, 1625-1649']","['Harvey, William, 1578-1657 -- Fiction.', 'Medicine -- England -- History -- 17th century -- Fiction.', 'Physicians -- Fiction.', 'Great Britain -- History -- Charles I, 1625-1649 -- Fiction.']",the imaginary journal of the physician who revolutionized medicine,,diary of William Harvey,The ,,,/type/edition,,,,,"[""Journal d'Harvey.""]",,[{'key': '/works/OL4124258W'}]
0,[{'key': '/authors/OL223380A'}],James Moffett.,,,,[3975216],/type/datetime,2008-04-01T03:28:50.625462,,,,['808/.042/07'],2nd ed.,,,,,,,['1402417'],,['533802'],,['0867092890'],,,/books/OL1565055M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T04:27:21.941287,5,['LB1631 .M54 1992'],['91046812'],,,,/type/text,Includes bibliographical references.,203.0,,,,,"vii, 203 p. ;",,,nhu,1992,"['Portsmouth, NH']",['Boynton/Cook Publishers'],5,,,,,"['English language -- Study and teaching (Secondary)', 'Report writing -- Study and teaching (Secondary)', 'English language -- Composition and exercises.', 'Interdisciplinary approach in education.']",a writing program across the curriculum,,Active voice,,,,/type/edition,,,,,,,[{'key': '/works/OL1866134W'}]
