,authors,by_statement,contributions,contributors,copyright_date,covers,create,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.goodreads,identifiers.google,identifiers.librarything,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subjects,subtitle,table_of_contents,title,title_prefix,translated_from,translation_of,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL18977A'}],by Nora Roberts.,,,,[6975694],,/type/datetime,2009-02-18T16:20:31.605879,,,,['813/.54'],Large print ed.,,,,,,,['3234430'],,['39873'],,['9780263204797'],,/books/OL23101076M,[{'key': '/languages/eng'}],/type/datetime,2011-12-04T22:23:37.188732,6,,,,,,,,381.0,,['232968297'],,,381 p. (large print) ;,,,enk,2008,['Surrey'],['Silhouette'],6,['Nora Roberts large print collection -- 18'],['marc:SanFranPL16/SanFranPL16.out:35507784:1600'],,,['Large type books'],,,Luring a lady,,,,/type/edition,,,,,,,[{'key': '/works/OL111453W'}]
0,,"Russian authors interviewed by Kristina Rotkirch ; editors, Anna Ljunggren, Kristina Rotkirch ; translated by Charles Rougle.","['Rotkirch, Kristina.', 'Ljunggren, Anna.', 'Rougle, Charles, 1946-']",,,,,/type/datetime,2009-02-18T16:27:08.771509,,,,['891.73509'],,,,,['Interviews.'],,,['7067203'],,,['5717200846'],['9785717200844'],,/books/OL23101379M,[{'key': '/languages/eng'}],/type/datetime,2010-04-24T19:27:12.255192,3,,,,,,,,192.0,,['232713674'],,,192 p. :,,,ru ,2008,"['Moscow', 'Chicago']","['Glas', 'Distributed in North America by Northwestern University Press Chicago Distribution Center']",3,,,,,"['Russian fiction -- 20th century -- History and criticism.', 'Russian fiction -- 21st century -- History and criticism.', 'Authors, Russian -- 20th century -- Interviews.']",a short list,,Contemporary Russian fiction,,,,/type/edition,,,,,,,
0,[{'key': '/authors/OL884046A'}],Yasutaka Tsutsui ; translated from the Japanese by Andrew Driver.,"['Driver, Andrew.', 'Tsutsui, Yasutaka, 1934-']",,,,,/type/datetime,2009-02-18T17:24:01.765088,,,,['895.6/35'],1st American ed.,,,,['Translations into English.'],,,['3284102'],,['2838232'],,['9780307377265'],,/books/OL23104196M,[{'key': '/languages/eng'}],/type/datetime,2010-08-19T11:25:14.742987,7,['PL862.S77 A2 2008'],['2007051356'],,,,/type/text,"""Originally published in Japan as Poruno wakusei no sarumonera ningen by Shinchosha, Co., Ltd., Tokyo, in 1979""--T.p. verso.

English translation originally published: London : Alma, 2006.

Translation of: Poruno Wakusei no Sarumonera Ningen.",252.0,,['184906240'],,,252 p. ;,,,nyu,2008,['New York'],['Pantheon Books'],7,,"['marc:SanFranPL16/SanFranPL16.out:40940885:3330', 'marc:marc_loc_updates/v37.i02.records.utf8:6509345:1467', 'marc:marc_loc_updates/v37.i10.records.utf8:6713816:1781', 'marc:marc_loc_updates/v37.i35.records.utf8:36370253:1875']",,,"['Tsutsui, Yasutaka, -- 1934- -- Translations into English']",stories,"[{'title': 'The Dabba Dabba Tree', 'type': {'key': '/type/toc_item'}}, {'title': 'Rumours about me', 'type': {'key': '/type/toc_item'}}, {'title': ""Don't laugh"", 'type': {'key': '/type/toc_item'}}, {'title': 'Farmer airlines', 'type': {'key': '/type/toc_item'}}, {'title': ""Bear's wood main line"", 'type': {'key': '/type/toc_item'}}, {'title': 'The very edge of happiness', 'type': {'key': '/type/toc_item'}}, {'title': 'Commuter army', 'type': {'key': '/type/toc_item'}}, {'title': 'Hello, hello, hello!', 'type': {'key': '/type/toc_item'}}, {'title': 'The world Is tilting', 'type': {'key': '/type/toc_item'}}, {'title': 'Bravo Herr Mozart!', 'type': {'key': '/type/toc_item'}}, {'title': 'The last smoker', 'type': {'key': '/type/toc_item'}}, {'title': 'Bad for the heart', 'type': {'key': '/type/toc_item'}}, {'title': 'Salmonella men on Planet Porno.', 'type': {'key': '/type/toc_item'}}]",Salmonella men on Planet Porno,,,,/type/edition,,,,,,['Poruno Wakusei no Sarumonera Ningen.'],[{'key': '/works/OL4442378W'}]
0,[{'key': '/authors/OL6591770A'}],,,"[{'role': 'Editor', 'name': 'Jose Maria Serrano Martinez'}]",,,,/type/datetime,2009-02-18T18:02:42.421253,,,,['813'],,,,,,,,['4050973'],,,['8401379644'],['9788401379642'],,/books/OL23106536M,[{'key': '/languages/eng'}],/type/datetime,2012-06-18T06:49:40.037649,6,['PS'],['2007160920'],,,,,,901.0,,,,,901 p. :,,,sp ,2006,['Madrid'],['Instituto Cervantes'],6,,,,,,annuario del instituto Cervantes : 2006-2007.,,Enciclopedia del Español en el mundo,,,,/type/edition,,,,,,,[{'key': '/works/OL13750719W'}]
0,[{'key': '/authors/OL6593195A'}],by Derek Armstrong.,,,,,,/type/datetime,2009-02-18T19:36:03.763781,,,,['813/.6'],1st ed.,,,,['Fiction.'],['IA140105'],['gamenovel00arms'],['518284'],,['3236963'],['1601640013'],['9781601640017'],,/books/OL23114140M,[{'key': '/languages/eng'}],/type/datetime,2011-08-12T04:43:56.303387,6,,['2006930183'],,,,,,348.0,,['122893160'],,,348 p. ;,,,flu,2007,"['Largo, FL']",['Kunati'],6,,,,,"['Serial murderers -- Fiction.', 'Television actors and actresses -- Fiction.', 'Reality television programs -- Fiction.']",a novel,,The game,,,,/type/edition,,,,,,,[{'key': '/works/OL13752209W'}]
0,[{'key': '/authors/OL224437A'}],Whitley Strieber.,,,,,,/type/datetime,2009-02-18T19:41:38.279849,,,,['813/.54'],1st ed.,,,,,,,['4389345'],,['7253604'],['0765322536'],['9780765322531'],,/books/OL23114636M,[{'key': '/languages/eng'}],/type/datetime,2010-08-19T11:33:43.107394,5,['PS3569.T6955 C75 2009'],['2008050412'],,,,,,,,,,,p. cm.,,,nyu,2009,['New York'],['Forge'],5,,,,,,,,Critical mass,,,,/type/edition,,,,,,,[{'key': '/works/OL1874521W'}]
0,[{'key': '/authors/OL1397865A'}],paper engineered by James Diaz ; illustrated by Francesca Diaz.,"['Diaz, Francesca, ill.']",,,,,/type/datetime,2009-02-18T19:48:45.614433,,/type/text,"Rhyming text introduces scenarios in which pop-up origami illustrations reflect their surroundings, including a passport folded into boats and a newspaper's good news flying off the page in the form of origami birds.","['[E]', 'E', '736.98']",,,,,"['Juvenile fiction.', 'Specimens.', 'Fiction.']",,,['2914421'],,['6248397'],['1581176414'],['9781581176414'],,/books/OL23115110M,[{'key': '/languages/eng'}],/type/datetime,2010-08-19T11:33:43.107394,5,['PZ8.3.D529 Po 2007'],,,,,/type/text,"Cover title.

""Where pop-up meets origami""--Cover.",,,['166379782'],,,1 v. (unpaged) :,,,gau,2007,"['Atlanta, GA']",['Intervisual Books'],5,,,,,"['Origami -- Juvenile fiction.', 'Pop-up books -- Specimens.', 'Origami -- Fiction.', 'Pop-up books.', 'Toy and movable books.', 'Stories in rhyme.']",when everyday paper pops!,,Popigami,,,,/type/edition,,,,,,,[{'key': '/works/OL5746805W'}]
0,[{'key': '/authors/OL2763983A'}],Melissa de la Cruz .,,,,,,/type/datetime,2009-02-19T00:09:27.706505,,/type/text,"""The Ashleys rule Miss Gamble's Preparatory School for girls. They are gorgeous, rich, impeccably fashion forward, and, yes, all  named Ashley.  Lauren Page had gone to the same school with them her whole life, and the Ashleys, if forced to remember, might recall only a faint memory of shoving mud in the poor girl's mouth in kindergarten.  But Lauren Page is no longer the mud-eating loser she once was.  And though she has completely changed her exterior from bargain-basement cast-offs to off-the-runway couture (props, of course, to her new personal shopper) she is still the same person on the inside.  And that person has had enough of the current regime.  Look out, Ashleys.  there's a new name in school.""--Back cover.",['[Fic]'],1st Aladdin Mix ed.,,,,['Fiction.'],,,['501851'],,['4564516'],['1416934065'],['9781416934066'],,/books/OL23125764M,[{'key': '/languages/eng'}],/type/datetime,2011-07-24T23:21:57.355925,8,['PZ7.D36967 As 2008'],,,,,,,247.0,,['190666166'],,,247 p. :,,,nyu,2008,"['New York, N.Y']",['Aladdin Mix'],8,['The Ashleys'],"['marc:SanFranPL15/SanFranPL15.out:88792991:4188', 'marc:marc_loc_updates/v37.i48.records.utf8:7989962:1097', 'marc:marc_loc_updates/v38.i03.records.utf8:4834830:1097']",,,"['Teenage girls -- Fiction', 'Preparatory school students -- Fiction', ""Girls' schools -- Fiction"", 'Wealth -- Fiction', 'Popularity -- Fiction', 'Clubs -- Fiction', 'Preparatory schools -- Fiction', 'Schools -- Fiction', 'San Francisco (Calif.) -- Fiction']",,,The Ashleys,,,,/type/edition,,,,,,,[{'key': '/works/OL5706344W'}]
0,[{'key': '/authors/OL534116A'}],Jane Donawerth.,,,,,,/type/datetime,2009-03-02T11:46:42.073602,,,,['822.3/3'],,,,,,,,['4797444'],,['6453824'],['0252010388'],,,/books/OL23132672M,[{'key': '/languages/eng'}],/type/datetime,2010-08-19T11:43:10.994775,5,['PR3069.L3'],,,,,/type/text,"Based on the author's thesis (doctoral)--University of Wisconsin, Madison, 1975.",,,,,,,,,xxu,1984,"['Urbana', 'Chicago']",['University of Illinois Press'],5,,['marc:talis_openlibrary_contribution/talis-openlibrary-contribution.mrc:2161739893:769'],,,"['Shakespeare, William, -- 1564-1616 -- Knowledge -- Language and languages', 'Rhetoric -- 1500-1800']",,,Shakespeare and the sixteenth-centurystudy of language,,,,/type/edition,,,,,,,[{'key': '/works/OL3273053W'}]
0,[{'key': '/authors/OL6597653A'}],Anne D. Wallace.,,,,,,/type/datetime,2009-03-02T13:59:25.175952,,,,['820.9355'],,,,,,,,['2532940'],,['105692'],['0198183283'],,,/books/OL23134241M,[{'key': '/languages/eng'}],/type/datetime,2010-08-19T11:44:00.985826,4,,,,,,/type/text,Bibliography: p251-260. - Includes index.,265.0,,,,,"x,265p. ;",,,enk,1994,['Oxford'],['Clarendon Press'],4,,,,,"['English literature -- 19th century -- History and criticism.', 'Walking -- England -- History -- 19th century.', 'Walking in literature.', 'England -- Civilization -- 19th century.']",the origins and uses of peripatetic in the nineteenth century,,"Walking, literature and English culture",,,,/type/edition,,,,,,,[{'key': '/works/OL13756377W'}]
