,authors,by_statement,contributions,contributors,copyright_date,coverimage,covers,create,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.goodreads,identifiers.google,identifiers.librarything,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_places,subject_time,subjects,subtitle,table_of_contents,title,title_prefix,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL199561A'}],a novel by Kerry Greenwood.,,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['823'],,,,,,,,,['1997743'],,['2077738'],['1863304916'],,,/books/OL770378M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T20:53:35.422080,4,['PR9619.3.G725 M43 1997'],['97169609'],,,,/type/text,"Includes bibliographical references (p. [428]-430).
""Reed Books""--P. 4 of cover.",431.0,,,,,"xii, 431 p. :",,,at ,1997,"['Kew, Vic']",['Mandarin'],4,['The delphic women'],,['Greece'],,,"['Medea (Greek mythology) -- Fiction.', 'Women -- Greece -- Fiction.']",,,Medea,,/type/edition,,,,,,,[{'key': '/works/OL1732368W'}]
0,[{'key': '/authors/OL440912A'}],Jorge de Matos ; prefácio de José Manuel Anes.,,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['869.1/41'],2a ed.,,,,,,,,['1202076'],,,['9728310285'],,,/books/OL776804M,[{'key': '/languages/por'}],/type/datetime,2010-04-13T08:50:06.516005,3,['PQ9261.P417 Z7643 1997'],['97177803'],,,,/type/text,Includes bibliographical references (p. 173-181).,218.0,,,['37523427'],,218 p. :,,,po ,1997,['Lisboa'],['Hugin'],3,"['Biblioteca maçónica ;', '#1', 'Biblioteca maçónica (Lisbon, Portugal) ;', '#1.']",,,,,"['Pessoa, Fernando, 1888-1935 -- Criticism and interpretation.', 'Freemasonry in literature.']",,,pensamento maçónico de Fernando Pessoa,O ,/type/edition,,,,,,,[{'key': '/works/OL2898491W'}]
0,,[edited by] David King Dunaway and Sara L. Spurgeon.,"['Dunaway, David King.', 'Spurgeon, Sara L.']",,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['810.8/0979'],,,,,,,,,['1649011'],,['501991'],['0452273943'],,,/books/OL781334M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T20:57:56.707048,3,['PS566 .W75 1995'],['95013241'],,,,/type/text,Includes bibliographical references.,265.0,,,,,"xlvii, 265 p. ;",,,nyu,1995,['New York'],['Plume'],3,,,"['Southwestern States', 'Southwest, New', 'Southwestern States.']",,['20th century'],"['American literature -- Southwestern States.', 'Authors, American -- Homes and haunts -- Southwestern States.', 'Authors, American -- 20th century -- Interviews.', 'Southwestern States -- Literary collections.', 'Southwestern States -- Intellectual life.', 'Southwest, New -- Literary collections.']",,,Writing the Southwest,,/type/edition,,,,,,,
0,[{'key': '/authors/OL443032A'}],Yenna Wu.,,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['895.1/8460809352042'],,,,,,,,,['2249173'],,['180017'],['067412572X'],,,/books/OL781442M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T20:57:56.707048,4,['PN56.5.W64 W8 1995'],['95013353'],,,,/type/text,Includes bibliographical references (p. [267]-288) and index.,312.0,,,,,"viii, 312 p. ;",,,mau,1995,"['Cambridge, Mass']","['Council on East Asian Studies, Harvard University', 'distributed by Harvard University Press']",4,"['Harvard-Yenching Institute monograph series ;', '40']",,['China'],,,"['Women in literature.', 'Chinese literature -- History and criticism.', 'Women -- China -- Social conditions.']",a literary theme,,Chinese virago,The ,/type/edition,,,,,,,[{'key': '/works/OL2908067W'}]
0,[{'key': '/authors/OL446679A'}],by Robin Becker.,,,,,"[3809204, 623681]",,/type/datetime,2008-04-01T03:28:50.625462,,,,['811/.54'],,,,,,,,,['323229'],,['155170'],"['0822939177', '0822955806']",,,/books/OL789543M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T21:08:13.527005,5,['PS3552.E257 A45 1996'],['95021965'],,,,,,69.0,,,,,69 p. :,,,pau,1996,['Pittsburgh'],['University of Pittsburgh Press'],5,['Pitt poetry series'],,,,,,,,All-American girl,,/type/edition,,,,,,,[{'key': '/works/OL2930505W'}]
0,[{'key': '/authors/OL446789A'}],Patricia A. Cochrane.,,,,,[239339],,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,In 1936 twelve-year-old Rosie Pearl Bush and her family of migrants endure the hardships of the Great Depression as they find work picking fruit in the California Valley.,['[Fic]'],,,,,,,,,['4286514'],,['1789790'],['0385321937'],,,/books/OL789749M,[{'key': '/languages/eng'}],/type/datetime,2011-04-28T12:36:12.791961,6,['PZ7.C63973 Pu 1996'],['95022178'],,,,,,135.0,,,['32589635'],,135 p. ;,,,nyu,1996,['New York'],['Delacorte Press'],6,,,['California'],,['1929'],"['Depressions -- 1929 -- California -- Juvenile fiction.', 'Depressions -- 1929 -- Fiction.', 'Migrant labor -- Fiction.', 'California -- Fiction.']",,,Purely Rosie Pearl,,/type/edition,,,,,,,[{'key': '/works/OL2931027W'}]
0,[{'key': '/authors/OL20891A'}],Elie Wiesel ; translated from the French by Marion Wiesel.,"['Wiesel, Marion.']",,,,[581705],,/type/datetime,2008-04-01T03:28:50.625462,,,,['843'],,,,,,,,,['11170'],,['136558'],['080521058X'],,,/books/OL790260M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T21:09:08.876593,8,['PQ2683.I32 C7413 1995'],['95022710'],,,,,,217.0,,,,,217 p. ;,,,nyu,1995,['New York'],['Schocken Books'],8,,"['marc:marc_records_scriblio_net/part25.dat:8823185:841', 'marc:marc_ithaca_college/ic_marc.mrc:145238639:871']",['New York (State)'],,,"['Psychiatric hospital patients -- Fiction', 'Holocaust survivors -- Fiction', 'New York (State) -- Fiction']",a novel,,Twilight,,/type/edition,,,,,"['Crépuscule, au loin.']",,[{'key': '/works/OL14856822W'}]
0,[{'key': '/authors/OL19943A'}],Jonathan London ; illustrated by Rocco Baviera.,"['Baviera, Rocco, ill.']",,,,[112853],,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"While walking on a mountain path, a young boy discovers a yellow spider spinning her web and as he quietly watches her, he sees the world from a different perspective.",['[E]'],1st ed.,,,,,,,,['70504'],,['588769'],['0152009442'],,,/books/OL790343M,[{'key': '/languages/eng'}],/type/datetime,2010-08-03T03:02:43.593701,6,['PZ7.L8432 Dr 1998'],['95022799'],,,,,,,,,,,1 v. (unpaged) :,,,cau,1998,['San Diego'],['Silver Whistle'],6,,,,,,['Spiders -- Fiction.'],,,Dream weaver,,/type/edition,['Publisher description'],['http://www.loc.gov/catdir/description/har031/95022799.html'],['http://www.loc.gov/catdir/description/har031/95022799.html'],,,,[{'key': '/works/OL15286847W'}]
0,[{'key': '/authors/OL231720A'}],John D. Nesbitt.,,,,,[6948548],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,,,['IA141019'],['twinrivers00nesb'],['4503916'],,,['0802741525'],,,/books/OL798365M,[{'key': '/languages/eng'}],/type/datetime,2011-10-18T04:23:22.533449,5,['PS3564.E76 T87 1995'],['95034560'],,,,,,188.0,twinrivers00nesb,,,,188 p. ;,,,nyu,1995,['New York'],['Walker and Co.'],5,,['ia:twinrivers00nesb'],,,,,,,Twin Rivers,,/type/edition,,,,,,,[{'key': '/works/OL1931778W'}]
0,[{'key': '/authors/OL225277A'}],Dean Ing.,,,,,[3814324],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],1st ed.,,,,,,,,['1024688'],,['474372'],['0312857403'],,,/books/OL798534M,[{'key': '/languages/eng'}],/type/datetime,2010-07-30T21:45:33.909873,5,['PS3559.N37 S66 1995'],['95034737'],,,,/type/text,"""A Tom Doherty Associates book.""",317.0,,,,,317 p. ;,,,nyu,1995,['New York'],['Forge'],5,,,,,,['United States. Drug Enforcement Administration -- Fiction.'],,,Spooker,,/type/edition,,,,,,,[{'key': '/works/OL1882183W'}]
