,authors,by_statement,contributions,contributors,copyright_date,coverimage,covers,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.amazon,identifiers.amazon.co.uk_asin,identifiers.goodreads,identifiers.google,identifiers.librarything,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subject_times,subjects,subtitle,table_of_contents,title,title_prefix,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,,sous la direction de Jacques Convert.,"['Nouraud, Daniel.', 'Raynal, Patrick.', 'Convert, Jacques.', ""Conseil d'architecture, d'urbanisme et de l'environnement de la Charente-Maritime.""]",,,,,,,,,,['843/.08720894464'],,,,,,,,,,['3973430'],,,['286738785X'],,,/books/OL1455795M,[{'key': '/languages/fre'}],/type/datetime,2010-04-16T03:46:48.420078,2,['PQ3803.C55 O44 1992'],['93110286'],,,,/type/text,"""Réalisé par le Conseil d'architecture, d'urbanisme et de l'environnement de la Charente-Maritime.",139.0,,,,,139 p. :,,,fr ,1992,['[Paris]'],['Syros/Alternatives'],2,,,"['Charente-Maritime (France)', 'France', 'Charente-Maritime', 'Charente-Maritime.']",,,"['Architecture, Domestic -- France -- Charente-Maritime -- Pictorial works.', 'Seaside architecture -- France -- Charente-Maritime -- Pictorial works.', 'Short stories, French -- France -- Charente-Maritime.', 'Charente-Maritime (France) -- Fiction.']","10 auteurs de polars inspirés par le photographe Daniel Nouraud : Raynal, Daenineckx, Benacquista, Gandon, Pouy, Libiot, Lebrun, Kristy, Villard, Riondet",,Ombres blanches,,/type/edition,,,,,,,
0,[{'key': '/authors/OL138197A'}],Celso Emilio Ferreiro ; edición de Xosé Ma. Alvarez Cáccamo.,"['Alvarez Cáccamo, José María.']",,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['869.1/44'],,,,,,,,,,['5557432'],,,['8475075983'],,,/books/OL1456390M,[{'key': '/languages/gag'}],/type/datetime,2010-04-16T03:46:48.420078,5,['PQ9469.F4 O63 1991'],['93111124'],,,,/type/text,Includes bibliographical references (p. [35]-36).,145.0,,,,,145 p. ;,,,sp ,1991,['Vigo [Spain]'],['Edicións Xerais de Galicia'],5,"['Biblioteca das letras galegas ;', '26']","['marc:marc_records_scriblio_net/part23.dat:149870791:717', 'marc:marc_loc_updates/v36.i31.records.utf8:3049387:830', 'marc:marc_loc_updates/v37.i25.records.utf8:20579043:830']",,,,,,,Onde o mundo se chama Celanova,,/type/edition,,,,,,,[{'key': '/works/OL1353136W'}]
0,[{'key': '/authors/OL734251A'}],Jochen Hellmann.,,,,,,,,,,,['833/.912'],,,,,,,,,,['3413868'],,,['3926952652'],,,/books/OL1462573M,[{'key': '/languages/ger'}],/type/datetime,2010-04-16T03:46:48.420078,3,['PT2625.A44 Z415 1992'],['93120480'],,,,/type/text,Includes bibliographical references (p. 297-310).,310.0,,,,,310 p. ;,,,gw ,1992,['Hamburg'],['R. Krämer'],3,,,,,,"['Mann, Thomas, 1875-1955.', 'Mann, Thomas, 1875-1955 -- Translations into French -- History and criticism.', 'German language -- Translating into French.']",Untersuchungen zu Theorie und Praxis der literarischen Übersetzung,,französische Version des Zauberberg von Thomas Mann,Die ,/type/edition,,,,,,,[{'key': '/works/OL3993784W'}]
0,[{'key': '/authors/OL738108A'}],Gertrude Story.,,,,,,,,,,,['814/.54'],,,,,,,,,,['3591969'],,,['1895449022'],,,/books/OL1471577M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T03:46:48.420078,3,['PR9199.3.S834 H69 1992'],['93134372'],,,,,,143.0,,,['26807230'],,143 p. ;,,,snc,1992,"['Saskatoon, Sask']",['Thistledown Press'],3,,,,,,,,,How to saw wood with an angel,,/type/edition,,,,,,,[{'key': '/works/OL4005203W'}]
0,[{'key': '/authors/OL341151A'}],Dennis Carroll.,,,,,[5293574],,,,,,['812/.54'],,,,,,,,,,['5352274'],,,['0333413652'],,,/books/OL14729312M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T09:24:03.637779,4,['PS3563.A4345 Z62 1987'],,,,,/type/text,"Includes index.

Bibliography: p. 156-165.",171.0,,,,,"xii, 171 p., [8] p. of plates :",,,enk,1987,['London'],['Macmillan'],4,['Macmillan modern dramatists'],,,,,"['Mamet, David -- Criticism and interpretation.']",,,David Mamet,,/type/edition,,,,,,,[{'key': '/works/OL2456207W'}]
0,[{'key': '/authors/OL739469A'}],Charles Bouazis.,,,,,[2180378],,,,,,['843/.912'],,,,,,,,,,['1858314'],,,['2865632776'],,,/books/OL1474879M,[{'key': '/languages/fre'}],/type/datetime,2010-04-16T03:46:48.420078,4,['PQ2631.R63 Z5452524 1992'],['93139035'],,,,/type/text,Includes bibliographical references (p. [319]-320).,323.0,,,,,323 p. ;,,,fr ,1992,['Paris'],['Méridiens Klincksieck'],4,['Sémiotique'],,['France.'],,,"['Proust, Marcel, 1871-1922 -- Knowledge -- Psychology.', 'Psychoanalysis and literature -- France.', 'Semiotics and literature -- France.', 'Psychology in literature.']",,,Ce que Proust savait du symptôme,,/type/edition,,,,,,,[{'key': '/works/OL4009473W'}]
0,[{'key': '/authors/OL610874A'}],Velma Pollard ; traducción Felip Cunill.,"['Cunill, Felipe.']",,,,,,,,,,['813'],Ed. bilingüe.,,,,,,,,,['3380262'],,,['9590400043'],,,/books/OL1483877M,[{'key': '/languages/spa'}],/type/datetime,2010-04-16T03:47:41.198104,2,['PR9265.9.P65 K3718 1993'],['93152275'],,,,/type/text,"Spanish and English.
Errata slip inserted.",203.0,,,,,203 p. ;,,,cu ,1993,['Ciudad de la Habana'],['Casa de las Américas'],2,,,['Caribbean Area'],,,"['Men -- Caribbean Area -- Fiction.', 'Caribbean Area -- Fiction.']",,,Karl,,/type/edition,,,,,['Karl.'],,
0,[{'key': '/authors/OL3346845A'}],(by) Phyl Cooke.,,,,,,/type/datetime,2008-09-15T21:15:06.067746,,,,['823/.9/1F'],,,,,,,,,,['7287722'],,,['0002337908'],,,/books/OL14874683M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T11:52:02.792350,4,,,,,,,,159.0,,,['59767319'],,159p. ;,,,xxk,1977,['London'],['Collins'],4,,,,,,['Fiction in English.'],,,The shadow beast,,/type/edition,,,,,,,[{'key': '/works/OL9293672W'}]
0,,Victoria Holt.,,,,,,/type/datetime,2008-09-15T21:55:20.043536,,,,['823/.912'],,,,,,,,,,['4560316'],,['167376'],['0006168981'],,,/books/OL14876533M,[{'key': '/languages/eng'}],/type/datetime,2013-11-26T21:34:09.965777,11,,,,,,/type/text,"Originally published, London , Collins, 1969.",320.0,,,['59788369'],,320p. ;,,,xxk,1985,['London'],['Fontana/Collins'],11,,,,,,,,,The shivering sands,,/type/edition,,,,,,,[{'key': '/works/OL3931463W'}]
0,[{'key': '/authors/OL124338A'}],Willem Elsschot ; verzameld en toegelicht door Vic van de Reijt ; met medewerking van Lidewijde Paris.,"['Reijt, Vic van de.', 'Paris, Lidewijde.']",,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['839.3/1362'],,,,,,,,,,['800284'],,['7888800'],['9021461501'],,,/books/OL1490947M,[{'key': '/languages/dut'}],/type/datetime,2010-07-31T03:39:41.611682,4,['PT6442.R5 Z48 1993'],['93163317'],,,,/type/text,Includes index.,1237.0,,,,,1237 p. :,,,ne ,1993,['Amsterdam'],['Querido'],4,,,,['20th century'],,"['Elsschot, Willem, 1882-1960 -- Correspondence.', 'Authors, Flemish -- 20th century -- Correspondence.']",,,Brieven,,/type/edition,,,,,,,[{'key': '/works/OL1232212W'}]
